symptoms,remedies,ingredients,instructions,recipe,dosage,effectiveness_rating,season_suitable,severity_level,demographics,contraindications
"Fever, Headache, Body Pain","Ginger, Turmeric, Holy Basil","Ginger root, turmeric powder, holy basil leaves","Boil ingredients in water for 10 minutes","1 cup water, 1 inch ginger, 1 tsp turmeric","3 times daily",4.5,"All Seasons","Moderate","Adult, Senior","Blood thinners"
"Cough, Sore Throat, Congestion","Thyme, Honey, Echinacea","Thyme, honey, echinacea","Mix ingredients in warm water","1 cup water, 1 tsp thyme, 1 tbsp honey","Every 4-6 hours",4.2,"Winter, Monsoon","Mild","All","None"
"Nausea, Dizziness, Stomach Pain","Ginger, Peppermint, Chamomile","Ginger root, peppermint leaves, chamomile","Steep in hot water for 5-10 minutes","1 cup water, 1 tsp each herb","As needed",4.0,"All Seasons","Mild","All","Pregnancy"
"Fatigue, Anxiety, Insomnia","Ashwagandha, Lavender, Chamomile","Ashwagandha powder, lavender buds, chamomile","Steep herbs in hot water","1 cup water, 1 tsp each herb","Before bedtime",4.8,"All Seasons","Moderate","Adult","Sedatives, Pregnancy"
"Joint Pain, Body Pain, Inflammation","Turmeric, Boswellia, Ginger","Turmeric powder, boswellia extract, ginger","Mix in warm water or milk","1 cup liquid, 1 tsp each herb","Twice daily",4.6,"Monsoon, Winter","Severe","Adult, Senior","Blood thinners"
"Allergies, Congestion, Sore Throat","Nettle Leaf, Elderberry, Echinacea","Nettle leaves, elderberry, echinacea","Steep in hot water","1 cup water, 1 tsp each herb","3 times daily",4.1,"Spring, Summer","Mild","All","Autoimmune conditions"
"Skin Problems, Inflammation","Aloe Vera, Neem, Turmeric","Aloe vera gel, neem powder, turmeric","Mix into a paste","Equal parts of each","Apply twice daily",4.3,"Summer","Mild","All","Open wounds"
"Anxiety, Insomnia, Headache","Lavender, Valerian Root, Chamomile","Lavender buds, valerian root, chamomile","Steep in hot water","1 cup water, 1 tsp each herb","Before bedtime",4.7,"All Seasons","Moderate","Adult, Teen","Sedatives"
"Seasonal Allergies, Runny Nose, Sneezing","Butterbur, Nettle Leaf, Elderflower","Butterbur extract, nettle leaves, elderflower","Boil butterbur and elderflower in water","1 cup water, 1 tsp each herb","Twice daily",4.4,"Spring","Mild","All","Liver issues"
"Stomach Pain, Nausea, Bloating","Fennel, Peppermint, Caraway","Fennel seeds, peppermint leaves, caraway seeds","Steep in hot water","1 cup water, 1 tsp each herb","After meals",4.3,"All Seasons","Mild","All","None"
